,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,07/08/10,Auxerre,Lorient,2,2,D,1.91,3.3,4.2,0,0,0,0,0,0,0,0,0,20,False
1,07/08/10,Lens,Nancy,1,2,A,2.1,3.1,3.8,0,0,0,0,0,0,0,0,0,20,False
2,07/08/10,Lyon,Monaco,0,0,D,1.44,4.0,8.0,0,0,0,0,0,1,0,1,0,20,False
3,07/08/10,Marseille,Caen,1,2,A,1.25,5.5,12.0,0,-1,0,1,0,0,0,3,0,20,False
4,07/08/10,Nice,Valenciennes,0,0,D,2.1,3.1,3.75,0,0,0,0,0,1,0,0,0,20,False
5,07/08/10,Paris SG,St Etienne,3,1,H,1.73,3.4,5.25,0,2,0,-2,0,3,0,0,0,20,False
6,07/08/10,Rennes,Lille,1,1,D,2.4,3.1,3.1,0,0,0,0,0,1,0,1,0,20,False
7,07/08/10,Sochaux,Arles,2,1,H,1.8,3.25,5.0,0,0,0,0,0,0,0,0,0,20,False
8,07/08/10,Toulouse,Brest,2,0,H,1.62,3.5,6.0,0,2,0,0,0,3,0,0,0,20,False
9,08/08/10,Montpellier,Bordeaux,1,0,H,3.2,3.0,2.4,0,1,0,-1,0,3,0,0,0,20,False
10,14/08/10,Arles,Lens,0,1,A,3.0,3.0,2.5,0,0,0,0,0,0,0,0,0,20,False
11,15/08/10,Bordeaux,Toulouse,1,2,A,1.6,3.6,6.25,-1,-2,2,3,0,0,3,6,0,20,False
12,14/08/10,Brest,Auxerre,1,1,D,3.1,2.9,2.5,0,0,0,0,0,0,0,0,0,20,False
13,15/08/10,Caen,Lyon,3,2,H,4.33,3.25,1.91,1,2,0,-1,3,6,1,1,0,20,False
14,15/08/10,Lille,Paris SG,0,0,D,2.05,3.2,3.75,0,0,2,2,1,2,3,4,0,20,False
15,14/08/10,Lorient,Nice,1,2,A,1.95,3.2,4.2,0,0,0,1,0,0,1,4,0,20,False
16,14/08/10,Nancy,Rennes,0,3,A,2.6,3.0,2.88,0,0,0,3,0,0,1,4,0,20,False
17,14/08/10,St Etienne,Sochaux,3,2,H,2.0,3.1,4.2,-2,-1,0,0,0,3,0,0,0,20,False
18,14/08/10,Valenciennes,Marseille,3,2,H,3.75,3.25,2.05,0,0,-1,-2,0,0,0,0,0,20,False
19,17/08/10,Monaco,Montpellier,0,0,D,2.25,3.1,3.3,0,0,1,1,1,2,3,4,0,20,False
20,21/08/10,Auxerre,Valenciennes,1,1,D,2.2,3.0,3.6,0,0,0,0,0,0,0,0,0,20,False
21,21/08/10,Lens,Monaco,2,2,D,2.3,3.0,3.4,0,0,0,0,0,0,2,3,0,20,False
22,21/08/10,Lyon,Brest,1,0,H,1.4,4.5,7.5,-1,0,0,0,1,4,0,0,0,20,False
23,21/08/10,Marseille,Lorient,2,0,H,1.62,3.4,6.5,-2,0,0,0,0,3,0,0,0,20,False
24,21/08/10,Nice,Nancy,1,1,D,2.38,3.0,3.2,1,1,0,0,4,5,0,0,0,20,False
25,21/08/10,Rennes,St Etienne,0,0,D,1.75,3.3,5.25,3,3,-1,-1,4,5,3,4,0,20,False
26,21/08/10,Toulouse,Arles,2,1,H,1.62,3.6,6.0,3,4,0,0,6,9,0,0,0,20,False
27,22/08/10,Montpellier,Caen,0,0,D,2.1,3.1,3.75,1,1,2,2,4,5,6,7,0,20,False
28,22/08/10,Paris SG,Bordeaux,1,2,A,2.2,3.1,3.5,2,1,-2,-1,4,4,0,3,0,20,False
29,22/08/10,Sochaux,Lille,0,0,D,4.0,3.1,2.05,0,0,0,0,0,0,2,3,0,20,False
30,28/08/10,Arles,Rennes,0,1,A,3.25,3.0,2.38,0,0,3,4,0,0,5,8,0,20,False
31,28/08/10,Caen,Brest,0,2,A,1.91,3.25,4.33,2,0,0,0,7,7,0,0,0,20,False
32,28/08/10,Lorient,Lyon,2,0,H,3.25,3.1,2.3,0,0,0,-2,0,0,4,4,0,20,False
33,28/08/10,Nancy,Toulouse,0,2,A,2.4,3.0,3.2,0,0,4,6,0,0,9,12,0,20,False
34,28/08/10,St Etienne,Lens,3,1,H,2.05,3.1,4.0,-1,1,0,0,4,7,0,0,0,20,False
35,28/08/10,Valenciennes,Montpellier,0,1,A,2.2,3.0,3.6,0,0,1,2,0,0,5,8,0,20,False
36,29/08/10,Bordeaux,Marseille,1,1,D,2.4,3.1,3.1,-1,-1,0,0,3,4,3,4,0,20,False
37,29/08/10,Lille,Nice,1,1,D,1.5,3.75,7.5,0,0,1,1,3,4,5,6,0,20,False
38,29/08/10,Monaco,Auxerre,2,0,H,2.38,3.0,3.25,0,2,0,0,3,6,0,0,0,20,False
39,29/08/10,Sochaux,Paris SG,3,1,H,3.25,3.1,2.3,0,0,1,-1,0,0,4,4,0,20,False
40,11/09/10,Auxerre,Caen,1,1,D,2.05,3.1,4.0,0,0,0,0,0,0,7,8,0,20,False
41,11/09/10,Lens,Lille,1,4,A,3.2,3.0,2.4,0,0,0,3,0,0,4,7,0,20,False
42,11/09/10,Lyon,Valenciennes,1,1,D,1.53,3.75,7.0,-2,-2,0,0,4,5,0,0,0,20,False
43,11/09/10,Montpellier,Nancy,1,2,A,1.85,3.2,4.75,2,1,0,0,8,8,0,0,0,20,False
44,11/09/10,Paris SG,Arles,4,0,H,1.4,4.33,8.5,-1,3,0,0,4,7,0,0,0,20,False
45,11/09/10,Rennes,Sochaux,2,1,H,1.67,3.5,5.5,4,5,0,0,8,11,0,0,0,20,False
46,11/09/10,Toulouse,St Etienne,0,1,A,1.8,3.25,5.0,6,5,1,2,12,12,7,10,0,20,False
47,12/09/10,Brest,Lorient,0,0,D,2.5,3.0,3.0,0,0,0,0,0,0,0,0,0,20,False
48,12/09/10,Marseille,Monaco,2,2,D,1.6,3.6,6.0,0,0,2,2,4,5,6,7,0,20,False
49,12/09/10,Nice,Bordeaux,2,1,H,3.25,3.1,2.3,1,2,-1,-2,6,9,4,4,0,20,False
50,18/09/10,Arles,Marseille,0,3,A,5.25,3.6,1.67,0,0,0,3,0,0,5,8,0,20,False
51,18/09/10,Lorient,Caen,0,1,A,2.2,3.0,3.6,0,0,0,1,0,0,8,11,0,20,False
52,18/09/10,Monaco,Toulouse,0,0,D,2.3,3.0,3.4,2,2,5,5,7,8,12,13,0,20,False
53,18/09/10,Nancy,Brest,0,2,A,2.0,3.2,3.9,0,0,0,0,0,0,0,0,0,20,False
54,18/09/10,Sochaux,Nice,4,0,H,2.1,3.2,3.6,0,0,2,-2,0,0,9,9,0,20,False
55,18/09/10,St Etienne,Montpellier,3,0,H,2.05,3.2,3.8,2,5,1,-2,10,13,8,8,0,20,False
56,18/09/10,Valenciennes,Lens,1,1,D,2.1,3.1,3.4,0,0,0,0,0,0,0,0,0,20,False
57,19/09/10,Bordeaux,Lyon,2,0,H,2.55,3.0,2.9,-2,0,-2,-4,4,7,5,5,0,20,False
58,19/09/10,Lille,Auxerre,1,0,H,1.85,3.25,4.6,3,4,0,0,7,10,0,0,0,20,False
59,19/09/10,Paris SG,Rennes,0,0,D,2.15,3.2,3.5,3,3,5,5,7,8,11,12,0,20,False
60,25/09/10,Auxerre,Nancy,2,2,D,2.0,3.2,4.0,0,0,0,0,0,0,0,0,0,20,False
61,25/09/10,Caen,Bordeaux,0,0,D,3.0,2.9,2.6,1,1,0,0,11,12,7,8,0,20,False
