,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,09/08/13,Montpellier,Paris SG,1.0,1.0,D,4.75,3.5,1.75,0.0,0.0,0.0,0.0,0,1,0,1,0,20,False
1,10/08/13,Bordeaux,Monaco,0.0,2.0,A,3.0,3.0,2.5,0.0,-2.0,0.0,2.0,0,0,0,3,0,20,False
2,10/08/13,Evian Thonon Gaillard,Sochaux,1.0,1.0,D,2.15,3.1,3.6,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
3,10/08/13,Lille,Lorient,1.0,0.0,H,1.62,3.6,6.0,0.0,1.0,0.0,0.0,0,3,0,0,0,20,False
4,10/08/13,Lyon,Nice,4.0,0.0,H,1.73,3.5,5.0,0.0,4.0,0.0,-4.0,0,3,0,0,0,20,False
5,10/08/13,Nantes,Bastia,2.0,0.0,H,2.25,3.1,3.4,0.0,2.0,0.0,0.0,0,3,0,0,0,20,False
6,10/08/13,Rennes,Reims,2.0,1.0,H,1.7,3.4,5.5,0.0,1.0,0.0,-1.0,0,3,0,0,0,20,False
7,10/08/13,Valenciennes,Toulouse,3.0,0.0,H,2.5,3.1,2.9,0.0,0.0,0.0,-3.0,0,0,0,0,0,20,False
8,11/08/13,Ajaccio,St Etienne,0.0,1.0,A,3.4,3.2,2.2,0.0,0.0,0.0,1.0,0,0,0,3,0,20,False
9,11/08/13,Guingamp,Marseille,1.0,3.0,A,3.4,3.2,2.2,0.0,-2.0,0.0,2.0,0,0,0,3,0,20,False
10,16/08/13,Sochaux,Lyon,1.0,3.0,A,3.6,3.2,2.1,0.0,0.0,4.0,6.0,0,0,3,6,0,20,False
11,17/08/13,Bastia,Valenciennes,2.0,0.0,H,2.1,3.3,3.5,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
12,17/08/13,Marseille,Evian Thonon Gaillard,2.0,0.0,H,1.4,4.5,8.0,2.0,4.0,0.0,0.0,3,6,0,0,0,20,False
13,17/08/13,Nice,Rennes,2.0,1.0,H,2.3,3.2,3.2,-4.0,-3.0,1.0,0.0,0,3,3,3,0,20,False
14,17/08/13,Reims,Lille,2.0,1.0,H,3.6,3.2,2.1,-1.0,0.0,1.0,0.0,0,3,3,3,0,20,False
15,17/08/13,St Etienne,Guingamp,1.0,0.0,H,1.44,4.0,8.0,1.0,2.0,-2.0,-3.0,3,6,0,0,0,20,False
16,17/08/13,Toulouse,Bordeaux,1.0,1.0,D,2.38,3.0,3.25,-3.0,-3.0,-2.0,-2.0,0,1,0,1,0,20,False
17,18/08/13,Lorient,Nantes,2.0,1.0,H,2.15,3.2,3.5,0.0,0.0,2.0,1.0,0,0,3,3,0,20,False
18,18/08/13,Monaco,Montpellier,4.0,1.0,H,1.53,3.8,6.5,2.0,5.0,0.0,-3.0,3,6,1,1,0,20,False
19,18/08/13,Paris SG,Ajaccio,1.0,1.0,D,1.2,6.5,13.0,0.0,0.0,0.0,0.0,1,2,0,0,0,20,False
20,23/08/13,Monaco,Toulouse,0.0,0.0,D,1.36,4.5,9.0,5.0,5.0,-3.0,-3.0,6,7,1,2,0,20,False
21,24/08/13,Bordeaux,Bastia,1.0,0.0,H,1.7,3.6,5.0,-2.0,-1.0,0.0,0.0,1,4,0,0,0,20,False
22,24/08/13,Evian Thonon Gaillard,Rennes,1.0,2.0,A,2.38,3.1,3.1,0.0,0.0,0.0,1.0,0,0,3,6,0,20,False
23,24/08/13,Guingamp,Lorient,2.0,0.0,H,2.3,3.1,3.2,-3.0,-1.0,0.0,0.0,0,3,0,0,0,20,False
24,24/08/13,Lyon,Reims,0.0,1.0,A,1.53,4.0,6.0,6.0,5.0,0.0,1.0,6,6,3,6,0,20,False
25,24/08/13,Montpellier,Sochaux,2.0,1.0,H,1.73,3.5,5.0,-3.0,-2.0,0.0,0.0,1,4,0,0,0,20,False
26,24/08/13,Valenciennes,Marseille,0.0,1.0,A,3.5,3.3,2.1,0.0,0.0,4.0,5.0,0,0,6,9,0,20,False
27,25/08/13,Ajaccio,Nice,0.0,0.0,D,2.5,3.1,2.9,0.0,0.0,-3.0,-3.0,0,0,3,4,0,20,False
28,25/08/13,Lille,St Etienne,1.0,0.0,H,1.95,3.25,4.2,0.0,1.0,2.0,1.0,3,6,6,6,0,20,False
29,25/08/13,Nantes,Paris SG,1.0,2.0,A,6.0,3.8,1.57,1.0,0.0,0.0,1.0,3,3,2,5,0,20,False
30,31/08/13,Bastia,Toulouse,2.0,1.0,H,2.5,3.2,2.88,0.0,0.0,-3.0,-4.0,0,0,2,2,0,20,False
31,31/08/13,Evian Thonon Gaillard,Lyon,2.0,1.0,H,3.25,3.2,2.25,0.0,0.0,5.0,4.0,0,0,6,6,0,20,False
32,31/08/13,Lorient,Valenciennes,1.0,0.0,H,1.91,3.4,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
33,31/08/13,Paris SG,Guingamp,2.0,0.0,H,1.18,6.5,16.0,1.0,3.0,-1.0,-3.0,5,8,3,3,0,20,False
34,31/08/13,Reims,Nantes,0.0,0.0,D,2.25,3.1,3.4,1.0,1.0,0.0,0.0,6,7,3,4,0,20,False
35,31/08/13,Rennes,Lille,0.0,0.0,D,2.88,3.1,2.55,1.0,1.0,1.0,1.0,6,7,6,7,0,20,False
36,31/08/13,Sochaux,Ajaccio,0.0,0.0,D,2.0,3.2,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
37,01/09/13,Marseille,Monaco,1.0,2.0,A,2.4,3.1,3.1,5.0,4.0,5.0,6.0,9,9,7,10,0,20,False
38,01/09/13,Nice,Montpellier,2.0,2.0,D,2.0,3.25,3.8,-3.0,-3.0,-2.0,-2.0,4,5,4,5,0,20,False
39,01/09/13,St Etienne,Bordeaux,2.0,1.0,H,2.0,3.3,3.8,1.0,2.0,-1.0,-2.0,6,9,4,4,0,20,False
40,13/09/13,Bordeaux,Paris SG,0.0,2.0,A,4.33,3.25,1.91,-2.0,-4.0,3.0,5.0,4,4,8,11,0,20,False
41,14/09/13,Ajaccio,Evian Thonon Gaillard,2.0,3.0,A,2.7,3.0,2.8,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
42,14/09/13,Guingamp,Bastia,1.0,1.0,D,2.05,3.25,3.75,-3.0,-3.0,0.0,0.0,3,4,0,0,0,20,False
43,14/09/13,Montpellier,Reims,0.0,0.0,D,1.83,3.25,4.75,-2.0,-2.0,1.0,1.0,5,6,7,8,0,20,False
44,14/09/13,Nantes,Sochaux,1.0,0.0,H,1.91,3.25,4.33,0.0,1.0,0.0,0.0,4,7,0,0,0,20,False
45,14/09/13,Toulouse,Marseille,1.0,1.0,D,2.88,3.0,2.6,-4.0,-4.0,4.0,4.0,2,3,9,10,0,20,False
46,14/09/13,Valenciennes,St Etienne,1.0,3.0,A,3.4,3.1,2.25,0.0,0.0,2.0,4.0,0,0,9,12,0,20,False
47,15/09/13,Lille,Nice,0.0,2.0,A,1.7,3.4,5.5,1.0,-1.0,-3.0,-1.0,7,7,5,8,0,20,False
48,15/09/13,Lyon,Rennes,0.0,0.0,D,1.91,3.3,4.2,4.0,4.0,1.0,1.0,6,7,7,8,0,20,False
49,15/09/13,Monaco,Lorient,1.0,0.0,H,1.4,4.5,8.0,6.0,7.0,0.0,0.0,10,13,0,0,0,20,False
50,20/09/13,St Etienne,Toulouse,1.0,2.0,A,1.8,3.25,5.0,4.0,3.0,-4.0,-3.0,12,12,3,6,0,20,False
51,21/09/13,Bastia,Marseille,0.0,0.0,D,3.3,3.1,2.3,0.0,0.0,4.0,4.0,0,0,10,11,0,20,False
52,21/09/13,Evian Thonon Gaillard,Montpellier,2.0,2.0,D,2.2,3.3,3.25,0.0,0.0,-2.0,-2.0,0,0,6,7,0,20,False
53,21/09/13,Reims,Guingamp,1.0,1.0,D,2.1,3.2,3.6,1.0,1.0,-3.0,-3.0,8,9,4,5,0,20,False
54,21/09/13,Rennes,Ajaccio,2.0,0.0,H,1.73,3.4,5.25,1.0,3.0,0.0,0.0,8,11,0,0,0,20,False
55,21/09/13,Sochaux,Lille,0.0,2.0,A,3.75,3.25,2.05,0.0,0.0,-1.0,1.0,0,0,7,10,0,20,False
56,22/09/13,Lorient,Bordeaux,3.0,3.0,D,2.63,3.1,2.75,0.0,0.0,-4.0,-4.0,0,0,4,5,0,20,False
57,22/09/13,Lyon,Nantes,3.0,1.0,H,1.75,3.4,5.0,4.0,6.0,1.0,-1.0,7,10,7,7,0,20,False
58,22/09/13,Nice,Valenciennes,4.0,0.0,H,1.73,3.5,5.0,-1.0,3.0,0.0,0.0,8,11,0,0,0,20,False
59,22/09/13,Paris SG,Monaco,1.0,1.0,D,1.8,3.5,4.5,5.0,5.0,7.0,7.0,11,12,13,14,0,20,False
60,24/09/13,Lille,Evian Thonon Gaillard,3.0,0.0,H,1.53,3.8,6.5,1.0,4.0,0.0,0.0,10,13,0,0,0,20,False
61,24/09/13,Marseille,St Etienne,2.0,1.0,H,2.0,3.2,4.0,4.0,5.0,3.0,2.0,11,14,12,12,0,20,False
62,25/09/13,Ajaccio,Lyon,2.0,1.0,H,3.6,3.25,2.1,0.0,0.0,6.0,5.0,0,0,10,10,0,20,False
63,25/09/13,Bordeaux,Reims,0.0,0.0,D,1.75,3.5,4.75,-4.0,-4.0,1.0,1.0,5,6,9,10,0,20,False
64,25/09/13,Guingamp,Sochaux,5.0,1.0,H,1.85,3.4,4.33,-3.0,1.0,0.0,0.0,5,8,0,0,0,20,False
65,25/09/13,Monaco,Bastia,3.0,0.0,H,1.25,5.5,12.0,7.0,10.0,0.0,0.0,14,17,0,0,0,20,False
66,25/09/13,Nantes,Nice,2.0,0.0,H,2.15,3.2,3.5,-1.0,1.0,3.0,1.0,7,10,11,11,0,20,False
67,25/09/13,Toulouse,Lorient,1.0,0.0,H,2.0,3.2,4.0,-3.0,-2.0,0.0,0.0,6,9,0,0,0,20,False
68,25/09/13,Valenciennes,Paris SG,0.0,1.0,A,8.5,4.25,1.4,0.0,0.0,5.0,6.0,0,0,12,15,0,20,False
69,26/09/13,Montpellier,Rennes,0.0,0.0,D,2.1,3.1,3.8,-2.0,-2.0,3.0,3.0,7,8,11,12,0,20,False
70,28/09/13,Evian Thonon Gaillard,Bordeaux,1.0,1.0,D,2.5,3.1,2.9,0.0,0.0,-4.0,-4.0,0,0,6,7,0,20,False
71,28/09/13,Lorient,Marseille,0.0,2.0,A,2.88,3.2,2.5,0.0,0.0,5.0,7.0,0,0,14,17,0,20,False
72,28/09/13,Lyon,Lille,0.0,0.0,D,2.25,3.2,3.25,5.0,5.0,4.0,4.0,10,11,13,14,0,20,False
73,28/09/13,Nice,Guingamp,1.0,0.0,H,1.95,3.25,4.2,1.0,2.0,1.0,0.0,11,14,8,8,0,20,False
74,28/09/13,Paris SG,Toulouse,2.0,0.0,H,1.25,5.5,12.0,6.0,8.0,-2.0,-4.0,15,18,9,9,0,20,False
75,28/09/13,Sochaux,Valenciennes,2.0,0.0,H,2.3,3.2,3.1,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
76,28/09/13,St Etienne,Bastia,2.0,2.0,D,1.57,3.75,6.25,2.0,2.0,0.0,0.0,12,13,0,0,0,20,False
77,29/09/13,Ajaccio,Montpellier,1.0,1.0,D,3.1,3.25,2.3,0.0,0.0,-2.0,-2.0,0,0,8,9,0,20,False
78,29/09/13,Reims,Monaco,1.0,1.0,D,5.5,3.75,1.62,1.0,1.0,10.0,10.0,10,11,17,18,0,20,False
79,29/09/13,Rennes,Nantes,1.0,3.0,A,2.15,3.2,3.5,3.0,1.0,1.0,3.0,12,12,10,13,0,20,False
80,04/10/13,Bastia,Lorient,4.0,1.0,H,2.38,3.1,3.1,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
81,05/10/13,Guingamp,Rennes,2.0,0.0,H,2.15,3.1,3.6,0.0,2.0,1.0,-1.0,8,11,12,12,0,20,False
82,05/10/13,Lille,Ajaccio,3.0,0.0,H,1.33,4.75,10.0,4.0,7.0,0.0,0.0,14,17,0,0,0,20,False
83,05/10/13,Monaco,St Etienne,2.0,1.0,H,1.53,3.75,7.0,10.0,11.0,2.0,1.0,18,21,13,13,0,20,False
84,05/10/13,Nantes,Evian Thonon Gaillard,3.0,0.0,H,1.83,3.4,4.5,3.0,6.0,0.0,0.0,13,16,0,0,0,20,False
85,05/10/13,Toulouse,Nice,1.0,0.0,H,1.95,3.3,4.0,-4.0,-3.0,2.0,1.0,9,12,14,14,0,20,False
86,05/10/13,Valenciennes,Reims,1.0,1.0,D,2.2,3.1,3.5,0.0,0.0,1.0,1.0,0,0,11,12,0,20,False
87,06/10/13,Bordeaux,Sochaux,4.0,1.0,H,1.57,3.6,6.5,-4.0,-1.0,0.0,0.0,7,10,0,0,0,20,False
88,06/10/13,Marseille,Paris SG,1.0,2.0,A,4.0,3.4,1.91,7.0,6.0,8.0,9.0,17,17,18,21,0,20,False
89,06/10/13,Montpellier,Lyon,5.0,1.0,H,2.3,3.2,3.1,-2.0,2.0,5.0,1.0,9,12,11,11,0,20,False
90,18/10/13,Nice,Marseille,1.0,0.0,H,2.63,3.1,2.75,1.0,2.0,6.0,5.0,14,17,17,17,0,20,False
91,18/10/13,Reims,Toulouse,1.0,2.0,A,2.6,3.1,2.8,1.0,0.0,-3.0,-2.0,12,12,12,15,0,20,False
92,19/10/13,Ajaccio,Nantes,0.0,1.0,A,3.1,3.1,2.38,0.0,0.0,6.0,7.0,0,0,16,19,0,20,False
93,19/10/13,Evian Thonon Gaillard,Guingamp,1.0,2.0,A,2.25,3.2,3.25,0.0,0.0,2.0,3.0,0,0,11,14,0,20,False
94,19/10/13,Montpellier,Lille,0.0,1.0,A,2.88,3.2,2.5,2.0,1.0,7.0,8.0,12,12,17,20,0,20,False
95,19/10/13,Paris SG,Bastia,4.0,0.0,H,1.2,6.0,15.0,9.0,13.0,0.0,0.0,21,24,0,0,0,20,False
96,19/10/13,Rennes,Valenciennes,2.0,2.0,D,1.8,3.4,4.75,-1.0,-1.0,0.0,0.0,12,13,0,0,0,20,False
97,20/10/13,Lyon,Bordeaux,1.0,1.0,D,2.1,3.3,3.5,1.0,1.0,-1.0,-1.0,11,12,10,11,0,20,False
98,20/10/13,Sochaux,Monaco,2.0,2.0,D,8.0,4.0,1.44,0.0,0.0,11.0,11.0,0,0,21,22,0,20,False
99,20/10/13,St Etienne,Lorient,3.0,2.0,H,1.6,3.75,5.75,1.0,2.0,0.0,0.0,13,16,0,0,0,20,False
100,25/10/13,Nantes,Lille,0.0,1.0,A,2.8,3.1,2.63,7.0,6.0,8.0,9.0,19,19,20,23,0,20,False
101,26/10/13,Bastia,Nice,1.0,0.0,H,2.38,3.1,3.1,0.0,0.0,2.0,1.0,0,0,17,17,0,20,False
102,26/10/13,Guingamp,Ajaccio,2.0,1.0,H,1.75,3.4,5.0,3.0,4.0,0.0,0.0,14,17,0,0,0,20,False
103,26/10/13,Lorient,Sochaux,2.0,1.0,H,1.75,3.4,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
104,26/10/13,Marseille,Reims,2.0,3.0,A,1.57,3.6,6.5,5.0,4.0,0.0,1.0,17,17,12,15,0,20,False
105,26/10/13,Toulouse,Rennes,0.0,5.0,A,2.0,3.2,4.0,-2.0,-7.0,-1.0,4.0,15,15,13,16,0,20,False
106,26/10/13,Valenciennes,Evian Thonon Gaillard,0.0,1.0,A,2.0,3.3,3.8,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
107,27/10/13,Bordeaux,Montpellier,2.0,0.0,H,2.1,3.2,3.6,-1.0,1.0,1.0,-1.0,11,14,12,12,0,20,False
108,27/10/13,Monaco,Lyon,2.0,1.0,H,1.4,4.33,8.5,11.0,12.0,1.0,0.0,22,25,12,12,0,20,False
109,27/10/13,St Etienne,Paris SG,2.0,2.0,D,5.0,3.5,1.73,2.0,2.0,13.0,13.0,16,17,24,25,0,20,False
110,01/11/13,Paris SG,Lorient,4.0,0.0,H,1.18,6.5,15.0,13.0,17.0,0.0,0.0,25,28,0,0,0,20,False
111,02/11/13,Ajaccio,Valenciennes,1.0,3.0,A,2.5,3.1,2.9,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
112,02/11/13,Evian Thonon Gaillard,Toulouse,2.0,1.0,H,2.6,3.1,2.8,0.0,0.0,-7.0,-8.0,0,0,15,15,0,20,False
113,02/11/13,Lyon,Guingamp,2.0,0.0,H,1.8,3.5,4.5,0.0,2.0,4.0,2.0,12,15,17,17,0,20,False
114,02/11/13,Reims,Bastia,4.0,2.0,H,2.1,3.25,3.5,1.0,3.0,0.0,0.0,15,18,0,0,0,20,False
115,02/11/13,Rennes,Marseille,1.0,1.0,D,2.5,3.1,2.9,4.0,4.0,4.0,4.0,16,17,17,18,0,20,False
116,02/11/13,Sochaux,St Etienne,0.0,0.0,D,4.2,3.25,1.91,0.0,0.0,2.0,2.0,0,0,17,18,0,20,False
117,03/11/13,Lille,Monaco,2.0,0.0,H,3.1,3.1,2.4,9.0,11.0,12.0,10.0,23,26,25,25,0,20,False
118,03/11/13,Montpellier,Nantes,1.0,1.0,D,2.2,3.1,3.5,-1.0,-1.0,6.0,6.0,12,13,19,20,0,20,False
119,03/11/13,Nice,Bordeaux,1.0,2.0,A,2.38,3.1,3.1,1.0,0.0,1.0,2.0,17,17,14,17,0,20,False
120,08/11/13,Monaco,Evian Thonon Gaillard,1.0,1.0,D,1.29,5.0,11.0,10.0,10.0,0.0,0.0,25,26,0,0,0,20,False
121,09/11/13,Bastia,Rennes,1.0,0.0,H,2.38,3.2,3.0,0.0,0.0,4.0,3.0,0,0,17,17,0,20,False
122,09/11/13,Guingamp,Lille,0.0,0.0,D,3.25,3.1,2.3,2.0,2.0,11.0,11.0,17,18,26,27,0,20,False
123,09/11/13,Lorient,Reims,0.0,0.0,D,1.91,3.3,4.2,0.0,0.0,3.0,3.0,0,0,18,19,0,20,False
124,09/11/13,Paris SG,Nice,3.0,1.0,H,1.22,5.5,15.0,17.0,19.0,0.0,-2.0,28,31,17,17,0,20,False
125,09/11/13,Toulouse,Ajaccio,1.0,1.0,D,1.57,3.8,6.0,-8.0,-8.0,0.0,0.0,15,16,0,0,0,20,False
126,09/11/13,Valenciennes,Montpellier,1.0,1.0,D,2.6,3.1,2.8,0.0,0.0,-1.0,-1.0,0,0,13,14,0,20,False
127,10/11/13,Bordeaux,Nantes,0.0,3.0,A,2.15,3.2,3.5,2.0,-1.0,6.0,9.0,17,17,20,23,0,20,False
128,10/11/13,Marseille,Sochaux,2.0,1.0,H,1.44,4.2,7.5,4.0,5.0,0.0,0.0,18,21,0,0,0,20,False
129,10/11/13,St Etienne,Lyon,1.0,2.0,A,2.05,3.2,3.75,2.0,1.0,2.0,3.0,18,18,15,18,0,20,False
130,22/11/13,Ajaccio,Marseille,1.0,3.0,A,4.2,3.3,1.91,0.0,0.0,5.0,7.0,0,0,21,24,0,20,False
131,23/11/13,Evian Thonon Gaillard,Lorient,0.0,4.0,A,2.1,3.2,3.6,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
132,23/11/13,Lyon,Valenciennes,1.0,1.0,D,1.57,3.8,6.0,3.0,3.0,0.0,0.0,18,19,0,0,0,20,False
133,23/11/13,Montpellier,Guingamp,1.0,1.0,D,1.91,3.3,4.2,-1.0,-1.0,2.0,2.0,14,15,18,19,0,20,False
134,23/11/13,Reims,Paris SG,0.0,3.0,A,7.0,4.33,1.44,3.0,0.0,19.0,22.0,19,19,31,34,0,20,False
135,23/11/13,Rennes,Bordeaux,1.0,1.0,D,2.4,3.1,3.1,3.0,3.0,-1.0,-1.0,17,18,17,18,0,20,False
136,23/11/13,Sochaux,Bastia,1.0,1.0,D,2.4,3.1,3.1,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
137,24/11/13,Lille,Toulouse,1.0,0.0,H,1.62,3.5,6.25,11.0,12.0,-8.0,-9.0,27,30,16,16,0,20,False
138,24/11/13,Nantes,Monaco,0.0,1.0,A,3.4,3.1,2.25,9.0,8.0,10.0,11.0,23,23,26,29,0,20,False
139,24/11/13,Nice,St Etienne,0.0,1.0,A,2.8,3.2,2.55,-2.0,-3.0,1.0,2.0,17,17,18,21,0,20,False
140,29/11/13,Marseille,Montpellier,2.0,0.0,H,1.85,3.3,4.5,7.0,9.0,-1.0,-3.0,24,27,15,15,0,20,False
141,30/11/13,Guingamp,Nantes,1.0,0.0,H,2.5,2.88,3.2,2.0,3.0,8.0,7.0,19,22,23,23,0,20,False
142,30/11/13,Lorient,Nice,3.0,0.0,H,2.0,3.1,4.2,0.0,0.0,-3.0,-6.0,0,0,17,17,0,20,False
143,30/11/13,Monaco,Rennes,2.0,0.0,H,1.53,4.0,6.0,11.0,13.0,3.0,1.0,29,32,18,18,0,20,False
144,30/11/13,St Etienne,Reims,4.0,0.0,H,1.62,3.75,5.5,2.0,6.0,0.0,-4.0,21,24,19,19,0,20,False
145,30/11/13,Toulouse,Sochaux,5.0,1.0,H,1.73,3.5,5.0,-9.0,-5.0,0.0,0.0,16,19,0,0,0,20,False
146,30/11/13,Valenciennes,Lille,0.0,1.0,A,3.6,3.2,2.1,0.0,0.0,12.0,13.0,0,0,30,33,0,20,False
147,01/12/13,Bastia,Evian Thonon Gaillard,2.0,0.0,H,2.0,3.1,4.2,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
148,01/12/13,Bordeaux,Ajaccio,4.0,0.0,H,1.44,4.0,8.0,-1.0,3.0,0.0,0.0,18,21,0,0,0,20,False
149,01/12/13,Paris SG,Lyon,4.0,0.0,H,1.36,4.75,8.5,22.0,26.0,3.0,-1.0,34,37,19,19,0,20,False
150,03/12/13,Lille,Marseille,1.0,0.0,H,2.0,3.25,3.9,13.0,14.0,9.0,8.0,33,36,27,27,0,20,False
151,03/12/13,Nantes,Valenciennes,2.0,1.0,H,1.73,3.4,5.25,7.0,8.0,0.0,0.0,23,26,0,0,0,20,False
152,03/12/13,Nice,Monaco,0.0,3.0,A,4.75,3.4,1.8,-6.0,-9.0,13.0,16.0,17,17,32,35,0,20,False
153,04/12/13,Ajaccio,Bastia,1.0,1.0,D,3.5,3.1,2.2,0.0,0.0,0.0,0.0,0,0,0,0,0,20,False
154,04/12/13,Evian Thonon Gaillard,Paris SG,2.0,0.0,H,8.5,5.0,1.33,0.0,0.0,26.0,24.0,0,0,37,37,0,20,False
155,04/12/13,Guingamp,Bordeaux,0.0,1.0,A,2.5,3.0,3.0,3.0,2.0,3.0,4.0,22,22,21,24,0,20,False
156,04/12/13,Montpellier,Lorient,0.0,2.0,A,1.91,3.3,4.2,-3.0,-5.0,0.0,0.0,15,15,0,0,0,20,False
157,04/12/13,Rennes,St Etienne,3.0,1.0,H,2.88,3.0,2.6,1.0,3.0,6.0,4.0,18,21,24,24,0,20,False
158,04/12/13,Sochaux,Reims,0.0,2.0,A,2.1,3.2,3.6,0.0,0.0,-4.0,-2.0,0,0,19,22,0,20,False
159,05/12/13,Lyon,Toulouse,1.0,1.0,D,1.83,3.2,4.75,-1.0,-1.0,-5.0,-5.0,19,20,19,20,0,20,False
160,06/12/13,Marseille,Nantes,0.0,1.0,A,1.85,3.3,4.5,8.0,7.0,8.0,9.0,27,27,26,29,0,20,False
161,07/12/13,Lorient,Rennes,2.0,0.0,H,2.1,3.2,3.6,0.0,0.0,3.0,1.0,0,0,21,21,0,20,False
162,07/12/13,Paris SG,Sochaux,5.0,0.0,H,1.11,8.5,21.0,24.0,29.0,0.0,0.0,37,40,0,0,0,20,False
163,07/12/13,Reims,Nice,1.0,0.0,H,2.2,3.2,3.4,-2.0,-1.0,-9.0,-10.0,22,25,17,17,0,20,False
164,07/12/13,Valenciennes,Guingamp,1.0,1.0,D,2.3,3.1,3.25,0.0,0.0,2.0,2.0,0,0,22,23,0,20,False
165,08/12/13,Bastia,Lyon,1.0,3.0,A,2.8,3.1,2.6,0.0,0.0,-1.0,1.0,0,0,20,23,0,20,False
