,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,10/08/2018,Marseille,Toulouse,4,0,H,1.4,4.5,8.0,0,4,0,-4,0,3,0,0,0,20,False
1,11/08/2018,Angers,Nimes,3,4,A,2.3,3.2,3.3,0,-1,0,1,0,0,0,3,0,20,False
2,11/08/2018,Lille,Rennes,3,1,H,2.5,3.1,3.1,0,2,0,-2,0,3,0,0,0,20,False
3,11/08/2018,Montpellier,Dijon,1,2,A,1.72,3.5,5.5,0,-1,0,1,0,0,0,3,0,20,False
4,11/08/2018,Nantes,Monaco,1,3,A,3.2,3.25,2.3,0,-2,0,2,0,0,0,3,0,20,False
5,11/08/2018,Nice,Reims,0,1,A,1.85,3.5,4.5,0,-1,0,1,0,0,0,3,0,20,False
6,11/08/2018,St Etienne,Guingamp,2,1,H,1.8,3.5,4.75,0,1,0,-1,0,3,0,0,0,20,False
7,12/08/2018,Bordeaux,Strasbourg,0,2,A,1.7,3.6,5.0,0,-2,0,2,0,0,0,3,0,20,False
8,12/08/2018,Lyon,Amiens,2,0,H,1.2,7.0,13.0,0,2,0,-2,0,3,0,0,0,20,False
9,12/08/2018,Paris SG,Caen,3,0,H,1.08,12.0,23.0,0,3,0,-3,0,3,0,0,0,20,False
10,17/08/2018,Reims,Lyon,1,0,H,4.75,4.0,1.7,1,2,2,1,3,6,3,3,0,20,False
11,18/08/2018,Amiens,Montpellier,1,2,A,3.2,3.0,2.5,-2,-3,-1,0,0,0,0,3,0,20,False
12,18/08/2018,Caen,Nice,1,1,D,2.75,3.1,2.75,-3,-3,-1,-1,0,1,0,1,0,20,False
13,18/08/2018,Dijon,Nantes,2,0,H,2.6,3.25,2.8,1,3,-2,-4,3,6,0,0,0,20,False
14,18/08/2018,Guingamp,Paris SG,1,3,A,13.0,7.0,1.2,-1,-3,3,5,0,0,3,6,0,20,False
15,18/08/2018,Monaco,Lille,0,0,D,1.5,4.33,6.5,2,2,2,2,3,4,3,4,0,20,False
16,18/08/2018,Rennes,Angers,1,0,H,1.9,3.3,4.5,-2,-1,-1,-2,0,3,0,0,0,20,False
17,19/08/2018,Nimes,Marseille,3,1,H,4.75,3.8,1.72,1,3,4,2,3,6,3,3,0,20,False
18,19/08/2018,Strasbourg,St Etienne,1,1,D,2.6,3.2,2.8,2,2,1,1,3,4,3,4,0,20,False
19,19/08/2018,Toulouse,Bordeaux,2,1,H,2.6,3.1,2.9,-4,-3,-2,-3,0,3,0,0,0,20,False
20,24/08/2018,Lyon,Strasbourg,2,0,H,1.28,5.75,11.0,1,3,2,0,3,6,4,4,0,20,False
21,25/08/2018,Amiens,Reims,4,1,H,2.6,3.25,2.8,-3,0,2,-1,0,3,6,6,0,20,False
22,25/08/2018,Montpellier,St Etienne,0,0,D,2.4,3.1,3.2,0,0,1,1,3,4,4,5,0,20,False
23,25/08/2018,Nantes,Caen,1,1,D,1.95,3.25,4.33,-4,-4,-3,-3,0,1,1,2,0,20,False
24,25/08/2018,Nice,Dijon,0,4,A,1.9,3.4,4.33,-1,-5,3,7,1,1,6,9,0,20,False
25,25/08/2018,Paris SG,Angers,3,1,H,1.07,13.0,26.0,5,7,-2,-4,6,9,0,0,0,20,False
26,25/08/2018,Toulouse,Nimes,1,0,H,2.3,3.2,3.3,-3,-2,3,2,3,6,6,6,0,20,False
27,26/08/2018,Bordeaux,Monaco,2,1,H,3.1,3.3,2.37,-3,-2,2,1,0,3,4,4,0,20,False
28,26/08/2018,Lille,Guingamp,3,0,H,2.0,3.4,3.9,2,5,-3,-6,4,7,0,0,0,20,False
29,26/08/2018,Marseille,Rennes,2,2,D,1.5,4.33,6.5,2,2,-1,-1,3,4,3,4,0,20,False
30,31/08/2018,Lyon,Nice,0,1,A,1.33,5.25,9.5,3,2,-5,-4,6,6,1,4,0,20,False
31,01/09/2018,Angers,Lille,1,0,H,2.45,3.25,3.0,-4,-3,5,4,0,3,7,7,0,20,False
32,01/09/2018,Dijon,Caen,0,2,A,1.9,3.4,4.33,7,5,-3,-1,9,9,2,5,0,20,False
33,01/09/2018,Guingamp,Toulouse,1,2,A,2.04,3.4,3.75,-6,-7,-2,-1,0,0,6,9,0,20,False
34,01/09/2018,Nimes,Paris SG,2,4,A,11.0,7.0,1.22,2,0,7,9,6,6,9,12,0,20,False
35,01/09/2018,Reims,Montpellier,0,1,A,2.6,3.1,2.9,-1,-2,0,1,6,6,4,7,0,20,False
36,01/09/2018,Strasbourg,Nantes,2,3,A,2.3,3.1,3.4,0,-1,-4,-3,4,4,1,4,0,20,False
37,02/09/2018,Monaco,Marseille,2,3,A,2.8,3.3,2.54,1,0,2,3,4,4,4,7,0,20,False
38,02/09/2018,Rennes,Bordeaux,2,0,H,2.1,3.3,3.75,-1,1,-2,-4,4,7,3,3,0,20,False
39,02/09/2018,St Etienne,Amiens,0,0,D,1.61,3.75,6.0,1,1,0,0,5,6,3,4,0,20,False
40,14/09/2018,Nice,Rennes,2,1,H,2.5,3.25,2.8,-4,-3,1,0,4,7,7,7,0,20,False
41,14/09/2018,Paris SG,St Etienne,4,0,H,1.25,6.0,11.0,9,13,1,-3,12,15,6,6,0,20,False
42,15/09/2018,Amiens,Lille,2,3,A,3.4,3.1,2.3,0,-1,4,5,4,4,7,10,0,20,False
43,15/09/2018,Caen,Lyon,2,2,D,5.5,3.75,1.64,-1,-1,2,2,5,6,6,7,0,20,False
44,15/09/2018,Dijon,Angers,1,3,A,2.14,3.4,3.4,5,3,-3,-1,9,9,3,6,0,20,False
45,15/09/2018,Montpellier,Strasbourg,1,1,D,1.95,3.4,4.2,1,1,-1,-1,7,8,4,5,0,20,False
46,15/09/2018,Toulouse,Monaco,1,1,D,3.0,3.3,2.4,-1,-1,0,0,9,10,4,5,0,20,False
47,16/09/2018,Bordeaux,Nimes,3,3,D,1.83,3.4,4.5,-4,-4,0,0,3,4,6,7,0,20,False
48,16/09/2018,Marseille,Guingamp,4,0,H,1.28,5.75,10.0,3,7,-7,-11,7,10,0,0,0,20,False
49,16/09/2018,Nantes,Reims,0,0,D,1.9,3.25,4.33,-3,-3,-2,-2,4,5,6,7,0,20,False
