,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
0,10/08/12,Montpellier,Toulouse,1,1,D,1.83,3.4,4.5,0,0,0,0,0,1,0,1,0,20,False
1,11/08/12,Evian Thonon Gaillard,Bordeaux,2,3,A,2.75,3.2,2.6,0,0,0,1,0,0,0,3,0,20,False
2,11/08/12,Nancy,Brest,1,0,H,2.1,3.2,3.6,0,0,0,0,0,0,0,0,0,20,False
3,11/08/12,Nice,Ajaccio,0,1,A,1.91,3.25,4.33,0,-1,0,0,0,0,0,0,0,20,False
4,11/08/12,Paris SG,Lorient,2,2,D,1.33,4.75,10.0,0,0,0,0,0,1,0,0,0,20,False
5,11/08/12,Rennes,Lyon,0,1,A,2.5,3.0,3.0,0,-1,0,1,0,0,0,3,0,20,False
6,11/08/12,Sochaux,Bastia,2,3,A,2.2,3.2,3.4,0,0,0,0,0,0,0,0,0,20,False
7,11/08/12,St Etienne,Lille,1,2,A,3.0,3.0,2.5,0,-1,0,1,0,0,0,3,0,20,False
8,11/08/12,Troyes,Valenciennes,0,1,A,2.4,3.1,3.1,0,0,0,0,0,0,0,0,0,20,False
9,12/08/12,Reims,Marseille,0,1,A,3.5,3.1,2.2,0,-1,0,1,0,0,0,3,0,20,False
10,17/08/12,Lille,Nancy,1,1,D,1.44,4.0,8.0,1,1,0,0,3,4,0,0,0,20,False
11,18/08/12,Bastia,Reims,2,1,H,1.7,3.5,5.25,0,0,-1,-2,0,0,0,0,0,20,False
12,18/08/12,Brest,Evian Thonon Gaillard,1,0,H,2.38,3.0,3.2,0,0,0,0,0,0,0,0,0,20,False
13,18/08/12,Lorient,Montpellier,2,1,H,2.7,3.0,2.75,0,0,0,-1,0,0,1,1,0,20,False
14,18/08/12,Lyon,Troyes,4,1,H,1.44,4.2,7.5,1,4,0,0,3,6,0,0,0,20,False
15,18/08/12,Toulouse,St Etienne,2,1,H,2.15,3.0,3.75,0,1,-1,-2,1,4,0,0,0,20,False
16,18/08/12,Valenciennes,Nice,0,0,D,1.91,3.25,4.33,0,0,-1,-1,0,0,0,1,0,20,False
17,19/08/12,Ajaccio,Paris SG,0,0,D,6.0,3.6,1.62,0,0,0,0,0,0,1,2,0,20,False
18,19/08/12,Bordeaux,Rennes,1,0,H,2.1,3.1,3.75,1,2,-1,-2,3,6,0,0,0,20,False
19,19/08/12,Marseille,Sochaux,2,0,H,1.44,4.0,8.0,1,3,0,0,3,6,0,0,0,20,False
20,24/08/12,Evian Thonon Gaillard,Lyon,1,1,D,3.6,3.2,2.1,0,0,4,4,0,0,6,7,0,20,False
21,25/08/12,Nancy,Toulouse,0,1,A,2.38,3.1,3.1,0,0,1,2,0,0,4,7,0,20,False
