,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG,RATIO,CC,GO
46,15/09/12,Valenciennes,Bordeaux,0,0,D,2.63,3.0,2.88,-200,-200,2,2,-200,-200,8,9,-200.0,20,False
47,16/09/12,Lyon,Ajaccio,2,0,H,1.44,4.2,7.5,5,7,-200,-200,10,13,-200,-200,-200.0,20,False
48,16/09/12,Nancy,Marseille,0,1,A,3.4,3.1,2.25,-200,-200,6,7,-200,-200,12,15,-200.0,20,False
49,16/09/12,Rennes,Lorient,1,2,A,1.83,3.25,4.75,-3,-4,-200,-200,3,3,-200,-200,-200.0,20,False
50,21/09/12,Montpellier,St Etienne,1,1,D,2.0,3.2,4.0,-2,-2,4,4,4,5,6,7,-3.8000000000000003,20,False
51,22/09/12,Bastia,Paris SG,0,4,A,5.25,3.6,1.67,-200,-200,3,7,-200,-200,9,12,-200.0,20,False
52,22/09/12,Brest,Valenciennes,2,1,H,2.7,3.0,2.75,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
53,22/09/12,Lorient,Nice,1,1,D,1.91,3.3,4.2,-200,-200,1,1,-200,-200,6,7,-200.0,20,False
54,22/09/12,Reims,Nancy,2,0,H,2.3,3.0,3.4,1,3,-200,-200,7,10,-200,-200,-200.0,20,False
55,22/09/12,Sochaux,Troyes,3,1,H,2.2,3.2,3.4,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
56,22/09/12,Toulouse,Rennes,2,2,D,2.1,3.25,3.6,0,0,-4,-4,8,9,3,4,4.55,20,False
57,23/09/12,Bordeaux,Ajaccio,2,2,D,1.57,3.4,7.5,2,2,-200,-200,9,10,-200,-200,-200.0,20,False
58,23/09/12,Lille,Lyon,1,1,D,2.1,3.3,3.5,0,0,7,7,6,7,13,14,-7.0,20,False
59,23/09/12,Marseille,Evian Thonon Gaillard,1,0,H,1.4,4.5,8.0,7,8,-200,-200,15,18,-200,-200,-200.0,20,False
60,28/09/12,Rennes,Lille,2,0,H,2.5,3.1,2.9,-4,-2,0,-2,4,7,7,7,-3.45,20,False
61,29/09/12,Ajaccio,Brest,1,0,H,1.91,3.2,4.33,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
62,29/09/12,Evian Thonon Gaillard,Lorient,1,1,D,2.5,3.1,2.9,-200,-200,-200,-200,-200,-200,-200,-200,-200.0,20,False
63,29/09/12,Nancy,Montpellier,0,2,A,3.2,3.0,2.4,-200,-200,-2,0,-200,-200,5,8,-200.0,20,False
64,29/09/12,Nice,Bastia,2,2,D,2.2,3.0,3.6,1,1,-200,-200,7,8,-200,-200,-200.0,20,False
65,29/09/12,Paris SG,Sochaux,2,0,H,1.2,6.0,15.0,7,9,-200,-200,12,15,-200,-200,-200.0,20,False
66,29/09/12,Troyes,Toulouse,0,2,A,3.0,3.0,2.5,-200,-200,0,2,-200,-200,9,12,-200.0,20,False
67,30/09/12,Lyon,Bordeaux,0,2,A,2.0,3.2,4.0,7,5,2,4,14,14,10,13,4.45,20,False
68,30/09/12,St Etienne,Reims,0,0,D,1.62,3.6,6.0,4,4,3,3,7,8,10,11,-1.2000000000000002,20,False
69,30/09/12,Valenciennes,Marseille,4,1,H,3.3,3.1,2.3,-200,-200,8,5,-200,-200,18,18,-200.0,20,False
70,05/10/12,St Etienne,Nancy,4,0,H,1.62,3.5,6.5,4,8,-200,-200,8,11,-200,-200,-200.0,20,False
