,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
368,18/05/2019,Strasbourg,Rennes,0,2,A,2.3,3.3,3.25
369,18/05/2019,Toulouse,Marseille,2,5,A,3.4,3.3,2.2
370,24/05/2019,Amiens,Guingamp,2,1,H,1.53,4.0,6.5
371,24/05/2019,Angers,St Etienne,1,1,D,2.62,3.4,2.62
372,24/05/2019,Caen,Bordeaux,0,1,A,1.72,3.6,5.25
373,24/05/2019,Dijon,Toulouse,2,1,H,1.5,4.5,6.0
374,24/05/2019,Marseille,Montpellier,1,0,H,1.85,4.2,3.75
375,24/05/2019,Nantes,Strasbourg,0,1,A,1.65,3.8,5.5
376,24/05/2019,Nice,Monaco,2,0,H,3.1,3.5,2.25
377,24/05/2019,Nimes,Lyon,2,3,A,3.4,3.8,2.0
378,24/05/2019,Reims,Paris SG,3,1,H,6.5,5.0,1.45
379,24/05/2019,Rennes,Lille,3,1,H,2.62,3.6,2.5
