,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
0,07/08/10,Auxerre,Lorient,2,2,D,1.91,3.3,4.2,0,0,0,0,0,1,0,1
1,07/08/10,Lens,Nancy,1,2,A,2.1,3.1,3.8,0,-1,0,1,0,0,0,3
2,07/08/10,Lyon,Monaco,0,0,D,1.44,4.0,8.0,0,0,0,0,0,1,0,1
3,07/08/10,Marseille,Caen,1,2,A,1.25,5.5,12.0,0,-1,0,1,0,0,0,3
4,07/08/10,Nice,Valenciennes,0,0,D,2.1,3.1,3.75,0,0,0,0,0,1,0,1
5,07/08/10,Paris SG,St Etienne,3,1,H,1.73,3.4,5.25,0,2,0,-2,0,3,0,0
6,07/08/10,Rennes,Lille,1,1,D,2.4,3.1,3.1,0,0,0,0,0,1,0,1
7,07/08/10,Sochaux,Arles,2,1,H,1.8,3.25,5.0,0,1,0,-1,0,3,0,0
8,07/08/10,Toulouse,Brest,2,0,H,1.62,3.5,6.0,0,2,0,-2,0,3,0,0
9,08/08/10,Montpellier,Bordeaux,1,0,H,3.2,3.0,2.4,0,1,0,-1,0,3,0,0
10,14/08/10,Arles,Lens,0,1,A,3.0,3.0,2.5,-1,-2,-1,0,0,0,0,3
11,15/08/10,Bordeaux,Toulouse,1,2,A,1.6,3.6,6.25,-1,-2,2,3,0,0,3,6
12,14/08/10,Brest,Auxerre,1,1,D,3.1,2.9,2.5,-2,-2,0,0,0,1,1,2
13,15/08/10,Caen,Lyon,3,2,H,4.33,3.25,1.91,1,2,0,-1,3,6,1,1
14,15/08/10,Lille,Paris SG,0,0,D,2.05,3.2,3.75,0,0,2,2,1,2,3,4
15,14/08/10,Lorient,Nice,1,2,A,1.95,3.2,4.2,0,-1,0,1,1,1,1,4
16,14/08/10,Nancy,Rennes,0,3,A,2.6,3.0,2.88,1,-2,0,3,3,3,1,4
17,14/08/10,St Etienne,Sochaux,3,2,H,2.0,3.1,4.2,-2,-1,1,0,0,3,3,3
18,14/08/10,Valenciennes,Marseille,3,2,H,3.75,3.25,2.05,0,1,-1,-2,1,4,0,0
19,17/08/10,Monaco,Montpellier,0,0,D,2.25,3.1,3.3,0,0,1,1,1,2,3,4
20,21/08/10,Auxerre,Valenciennes,1,1,D,2.2,3.0,3.6,0,0,1,1,2,3,4,5
21,21/08/10,Lens,Monaco,2,2,D,2.3,3.0,3.4,0,0,0,0,3,4,2,3
22,21/08/10,Lyon,Brest,1,0,H,1.4,4.5,7.5,-1,0,-2,-3,1,4,1,1
23,21/08/10,Marseille,Lorient,2,0,H,1.62,3.4,6.5,-2,0,-1,-3,0,3,1,1
24,21/08/10,Nice,Nancy,1,1,D,2.38,3.0,3.2,1,1,-2,-2,4,5,3,4
25,21/08/10,Rennes,St Etienne,0,0,D,1.75,3.3,5.25,3,3,-1,-1,4,5,3,4
26,21/08/10,Toulouse,Arles,2,1,H,1.62,3.6,6.0,3,4,-2,-3,6,9,0,0
27,22/08/10,Montpellier,Caen,0,0,D,2.1,3.1,3.75,1,1,2,2,4,5,6,7
28,22/08/10,Paris SG,Bordeaux,1,2,A,2.2,3.1,3.5,2,1,-2,-1,4,4,0,3
29,22/08/10,Sochaux,Lille,0,0,D,4.0,3.1,2.05,0,0,0,0,3,4,2,3
30,28/08/10,Arles,Rennes,0,1,A,3.25,3.0,2.38,-3,-4,3,4,0,0,5,8
31,28/08/10,Caen,Brest,0,2,A,1.91,3.25,4.33,2,0,-3,-1,7,7,1,4
