,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
0,04/08/17,Monaco,Toulouse,3,2,H,1.3,5.5,10.0,0.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0
1,05/08/17,Lyon,Strasbourg,4,0,H,1.36,5.0,8.5,0.0,4.0,0.0,-4.0,0.0,3.0,0.0,0.0
2,05/08/17,Metz,Guingamp,1,3,A,2.8,3.2,2.63,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,3.0
3,05/08/17,Montpellier,Caen,1,0,H,1.91,3.5,4.2,0.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0
4,05/08/17,Paris SG,Amiens,2,0,H,1.11,9.0,25.0,0.0,2.0,0.0,-2.0,0.0,3.0,0.0,0.0
5,05/08/17,St Etienne,Nice,1,0,H,2.2,3.2,3.5,0.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0
6,05/08/17,Troyes,Rennes,1,1,D,2.6,3.1,2.9,,,0.0,0.0,,,0.0,1.0
7,06/08/17,Angers,Bordeaux,2,2,D,2.5,3.1,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,06/08/17,Lille,Nantes,3,0,H,2.0,3.2,4.1,0.0,3.0,0.0,-3.0,0.0,3.0,0.0,0.0
9,06/08/17,Marseille,Dijon,3,0,H,1.4,4.75,8.0,0.0,3.0,0.0,-3.0,0.0,3.0,0.0,0.0
10,11/08/17,Nice,Troyes,1,2,A,1.53,4.0,7.0,-1.0,-2.0,,,0.0,0.0,,
11,11/08/17,Rennes,Lyon,1,2,A,3.6,3.5,2.0,0.0,-1.0,4.0,5.0,1.0,1.0,3.0,6.0
12,12/08/17,Amiens,Angers,0,2,A,2.9,3.1,2.63,-2.0,-4.0,0.0,2.0,0.0,0.0,1.0,4.0
13,12/08/17,Bordeaux,Metz,2,0,H,1.44,4.2,8.5,0.0,2.0,-2.0,-4.0,1.0,4.0,0.0,0.0
14,12/08/17,Caen,St Etienne,0,1,A,3.0,3.1,2.5,-1.0,-2.0,1.0,2.0,0.0,0.0,3.0,6.0
15,12/08/17,Nantes,Marseille,0,1,A,3.5,3.4,2.15,-3.0,-4.0,3.0,4.0,0.0,0.0,3.0,6.0
16,12/08/17,Toulouse,Montpellier,1,0,H,2.2,3.2,3.5,-1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0
17,13/08/17,Dijon,Monaco,1,4,A,7.0,4.2,1.5,-3.0,-6.0,1.0,4.0,0.0,0.0,3.0,6.0
18,13/08/17,Guingamp,Paris SG,0,3,A,15.0,6.0,1.22,2.0,-1.0,2.0,5.0,3.0,3.0,3.0,6.0
19,13/08/17,Strasbourg,Lille,3,0,H,3.75,3.3,2.1,-4.0,-1.0,3.0,0.0,0.0,3.0,3.0,3.0
20,18/08/17,Metz,Monaco,0,1,A,10.0,5.0,1.3,-4.0,-5.0,4.0,5.0,0.0,0.0,6.0,9.0
21,19/08/17,Lyon,Bordeaux,3,3,D,1.57,4.33,5.5,5.0,5.0,2.0,2.0,6.0,7.0,4.0,5.0
22,19/08/17,Montpellier,Strasbourg,1,1,D,1.85,3.5,4.5,0.0,0.0,-1.0,-1.0,3.0,4.0,3.0,4.0
23,19/08/17,Nice,Guingamp,2,0,H,2.0,3.3,4.0,-2.0,0.0,-1.0,-3.0,0.0,3.0,3.0,3.0
24,19/08/17,Rennes,Dijon,2,2,D,1.6,3.9,6.0,-1.0,-1.0,-6.0,-6.0,1.0,2.0,0.0,1.0
25,19/08/17,St Etienne,Amiens,3,0,H,1.53,4.0,7.0,2.0,5.0,-4.0,-7.0,6.0,9.0,0.0,0.0
26,19/08/17,Troyes,Nantes,0,1,A,2.5,3.1,3.1,,,-4.0,-3.0,,,0.0,3.0
