,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,HTGDBG,HTGDAG,ATGDBG,ATGDAG,HTPBG,HTPAG,ATPBG,ATPAG
0,10/08/12,Montpellier,Toulouse,1,1,D,1.83,3.4,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,11/08/12,Evian Thonon Gaillard,Bordeaux,2,3,A,2.75,3.2,2.6,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
2,11/08/12,Nancy,Brest,1,0,H,2.1,3.2,3.6,0.0,1.0,0.0,-1.0,0.0,3.0,0.0,0.0
3,11/08/12,Nice,Ajaccio,0,1,A,1.91,3.25,4.33,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
4,11/08/12,Paris SG,Lorient,2,2,D,1.33,4.75,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5,11/08/12,Rennes,Lyon,0,1,A,2.5,3.0,3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
6,11/08/12,Sochaux,Bastia,2,3,A,2.2,3.2,3.4,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
7,11/08/12,St Etienne,Lille,1,2,A,3.0,3.0,2.5,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
8,11/08/12,Troyes,Valenciennes,0,1,A,2.4,3.1,3.1,,,0.0,1.0,,,0.0,3.0
9,12/08/12,Reims,Marseille,0,1,A,3.5,3.1,2.2,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,3.0
10,17/08/12,Lille,Nancy,1,1,D,1.44,4.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0
11,18/08/12,Bastia,Reims,2,1,H,1.7,3.5,5.25,1.0,2.0,-1.0,-2.0,3.0,6.0,0.0,0.0
12,18/08/12,Brest,Evian Thonon Gaillard,1,0,H,2.38,3.0,3.2,-1.0,0.0,-1.0,-2.0,0.0,3.0,0.0,0.0
13,18/08/12,Lorient,Montpellier,2,1,H,2.7,3.0,2.75,0.0,1.0,0.0,-1.0,1.0,4.0,1.0,1.0
14,18/08/12,Lyon,Troyes,4,1,H,1.44,4.2,7.5,1.0,4.0,,,3.0,6.0,,
15,18/08/12,Toulouse,St Etienne,2,1,H,2.15,3.0,3.75,0.0,1.0,-1.0,-2.0,1.0,4.0,0.0,0.0
16,18/08/12,Valenciennes,Nice,0,0,D,1.91,3.25,4.33,1.0,1.0,-1.0,-1.0,3.0,4.0,0.0,1.0
17,19/08/12,Ajaccio,Paris SG,0,0,D,6.0,3.6,1.62,1.0,1.0,0.0,0.0,3.0,4.0,1.0,2.0
18,19/08/12,Bordeaux,Rennes,1,0,H,2.1,3.1,3.75,1.0,2.0,-1.0,-2.0,3.0,6.0,0.0,0.0
19,19/08/12,Marseille,Sochaux,2,0,H,1.44,4.0,8.0,1.0,3.0,-1.0,-3.0,3.0,6.0,0.0,0.0
20,24/08/12,Evian Thonon Gaillard,Lyon,1,1,D,3.6,3.2,2.1,-2.0,-2.0,4.0,4.0,0.0,1.0,6.0,7.0
21,25/08/12,Nancy,Toulouse,0,1,A,2.38,3.1,3.1,1.0,0.0,1.0,2.0,4.0,4.0,4.0,7.0
22,25/08/12,Nice,Lille,2,2,D,4.0,3.2,2.0,-1.0,-1.0,1.0,1.0,1.0,2.0,4.0,5.0
23,25/08/12,Reims,Sochaux,1,0,H,2.15,3.2,3.5,-2.0,-1.0,-3.0,-4.0,0.0,3.0,0.0,0.0
24,25/08/12,Rennes,Bastia,3,2,H,1.83,3.4,4.5,-2.0,-1.0,2.0,1.0,0.0,3.0,6.0,6.0
25,25/08/12,Troyes,Lorient,2,2,D,2.6,3.0,2.9,,,1.0,1.0,,,4.0,5.0
26,25/08/12,Valenciennes,Ajaccio,3,0,H,1.83,3.25,4.75,1.0,4.0,1.0,-2.0,4.0,7.0,4.0,4.0
27,26/08/12,Montpellier,Marseille,0,1,A,2.3,3.1,3.2,-1.0,-2.0,3.0,4.0,1.0,1.0,6.0,9.0
28,26/08/12,Paris SG,Bordeaux,0,0,D,1.57,3.6,6.5,0.0,0.0,2.0,2.0,2.0,3.0,6.0,7.0
29,26/08/12,St Etienne,Brest,4,0,H,1.7,3.5,5.25,-2.0,2.0,0.0,-4.0,0.0,3.0,3.0,3.0
30,01/09/12,Ajaccio,Evian Thonon Gaillard,2,0,H,2.4,3.2,3.0,-2.0,0.0,-2.0,-4.0,4.0,7.0,1.0,1.0
31,01/09/12,Bastia,St Etienne,0,3,A,2.4,3.1,3.1,1.0,-2.0,2.0,5.0,6.0,6.0,3.0,6.0
32,01/09/12,Brest,Troyes,2,1,H,2.15,3.0,3.75,-4.0,-3.0,,,3.0,6.0,,
33,01/09/12,Lorient,Nancy,3,0,H,2.0,3.2,4.0,1.0,4.0,0.0,-3.0,5.0,8.0,4.0,4.0
34,01/09/12,Lyon,Valenciennes,3,2,H,1.62,3.75,5.5,4.0,5.0,4.0,3.0,7.0,10.0,7.0,7.0
35,01/09/12,Sochaux,Montpellier,1,3,A,3.6,3.1,2.15,-4.0,-6.0,-2.0,0.0,0.0,0.0,1.0,4.0
36,01/09/12,Toulouse,Reims,1,1,D,1.67,3.5,5.5,2.0,2.0,-1.0,-1.0,7.0,8.0,3.0,4.0
37,02/09/12,Bordeaux,Nice,1,1,D,1.62,3.6,6.0,2.0,2.0,-1.0,-1.0,7.0,8.0,2.0,3.0
38,02/09/12,Lille,Paris SG,1,2,A,2.7,3.25,2.6,1.0,0.0,0.0,1.0,5.0,5.0,3.0,6.0
39,02/09/12,Marseille,Rennes,3,1,H,1.91,3.25,4.2,4.0,6.0,-1.0,-3.0,9.0,12.0,3.0,3.0
40,14/09/12,Paris SG,Toulouse,2,0,H,1.4,4.2,9.0,1.0,3.0,2.0,0.0,6.0,9.0,8.0,8.0
41,14/09/12,Reims,Montpellier,3,1,H,3.4,3.0,2.3,-1.0,1.0,0.0,-2.0,4.0,7.0,4.0,4.0
42,15/09/12,Evian Thonon Gaillard,Bastia,3,0,H,2.3,3.2,3.2,-4.0,-1.0,-2.0,-5.0,1.0,4.0,6.0,6.0
